,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1681,-6,7,2,-6,-3,0,1,-11
1682,-8,-7,12,-6,-5,-5,-30,-11
1683,7,1,-3,2,-1,0,31,13
1684,-5,0,-4,0,-1,-1,-13,-11
1685,-2,0,1,3,0,0,-1,0
1686,-2,-6,1,2,0,0,-2,0
1687,-2,-3,-13,-10,-2,-2,-13,-4
1688,-5,6,7,6,1,-3,-4,-3
1689,3,-6,-1,-13,-2,-1,9,12
1690,3,11,15,2,3,1,-3,-8
1691,-2,-14,-34,13,-5,0,-4,1
1692,-2,2,13,-22,-2,-1,8,-7
1693,-2,2,12,42,7,0,-10,12
1694,-6,17,2,-7,1,-3,-14,7
1695,4,8,3,-2,2,1,59,2
1696,-2,-27,-10,-7,-6,2,-3,-4
1697,-5,-7,-16,-19,-8,-5,-11,-10
1698,2,-3,-8,1,-4,0,12,4
1699,-6,9,13,12,3,-1,-22,-5
1700,-1,2,-2,2,-1,-5,-7,1
1701,-5,3,6,-8,-2,-2,2,-7
1702,-2,-3,-3,0,-3,-2,-2,6
1703,-2,-9,3,-5,-3,-3,-10,-8
1704,17,7,-16,0,-1,0,-1,-1
1705,-8,-20,-10,-7,-1,1,19,-10
1706,-8,0,3,5,2,1,-3,0
1707,-23,-3,-4,-7,1,-1,-29,1
1708,8,0,7,0,-4,-5,3,-6
1709,6,13,-8,-2,-4,-4,-15,0
1710,-5,-7,9,1,0,4,30,5
1711,2,-7,11,-1,1,-4,-12,-2
1712,-1,-10,-17,0,1,0,-13,-6
1713,5,8,-1,-2,-6,-2,1,-2
1714,-11,-5,-6,-6,-1,-3,-6,-7
1715,0,16,-5,5,4,2,8,5
1716,-8,2,26,-2,-2,1,-1,-8
1717,4,-13,-4,-3,0,-1,5,3
1718,0,-4,-2,1,0,-2,-1,0
1719,5,-5,-7,1,-4,-2,-2,-3
1720,-12,5,-4,-6,1,-1,-1,4
1721,-2,1,-13,-2,-6,-1,-2,-2
1722,8,2,15,5,4,1,-1,3
1723,-3,5,-5,-7,-3,-1,-6,-1
1724,4,1,-1,3,0,-1,4,5
1725,-8,-1,6,2,0,0,-10,-2
1726,-7,-4,-14,-14,-10,-3,-2,-5
1727,15,-8,-3,-2,3,-2,-7,12
1728,4,4,2,5,2,0,-10,1
1729,-7,-3,4,-4,-1,-2,9,0
1730,0,-4,-9,2,-4,-3,-8,-4
1731,17,-1,-3,-10,-6,-5,0,9
1732,5,-3,1,0,1,0,-3,-8
1733,-13,2,2,1,-4,-3,-9,-6
1734,10,-4,-5,-5,-1,1,0,-1
1735,-7,10,-1,0,-1,0,5,-4
1736,-15,-18,8,3,0,-3,-1,4
1737,2,6,-19,-7,2,-1,1,-2
1738,8,0,4,3,-2,-1,3,-3
1739,-2,1,17,2,0,0,1,-3
1740,-9,1,-16,-2,-2,-3,0,7
1741,2,7,-8,-3,1,0,6,-5
1742,-8,-17,-6,1,1,-1,-16,-5
1743,1,7,6,3,-3,-1,13,-6
1744,5,14,7,1,-2,1,-2,0
1745,0,-12,3,-1,0,-2,-10,3
1746,1,-6,0,1,0,-2,-20,-4
1747,-5,-12,-8,-2,-1,-1,9,-4
1748,-9,-6,-1,0,0,1,6,1
1749,14,16,-3,-3,-4,-3,-3,3
1750,-1,-3,-1,-1,-1,1,-3,6
1751,-8,0,-3,-2,-1,-3,-9,-7
1752,3,4,-5,-4,-5,-1,-6,-8
1753,-1,-4,6,3,0,2,8,2
1754,2,-5,-1,-3,0,-3,1,0
1755,-5,-3,-10,-2,0,-1,6,-2
1756,2,4,-6,0,0,-1,-4,-2
1757,-8,-11,8,0,0,-2,-8,-4
1758,4,3,-25,-1,2,0,6,-4
1759,-4,-4,6,-8,-2,-2,-13,-3
1760,-1,6,11,4,-2,-2,2,-3
1761,-15,-4,-25,-13,0,-1,-1,-4
1762,1,0,11,4,0,-1,7,4
1763,5,-19,-5,1,0,0,-11,-5
1764,-9,-9,-4,-4,-4,-2,19,0
1765,0,0,6,-1,-1,0,-7,-9
1766,6,5,3,0,-1,0,-9,0
1767,-6,7,-8,-3,-1,-1,-4,-1
1768,0,2,5,-1,-1,-1,-2,-8
1769,-3,-12,5,3,0,-2,-15,0
1770,-10,-6,0,-6,-5,-1,1,5
1771,-16,4,-3,1,-1,-1,5,3
