timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
6214403,9,-4,0,-6,0,-3,-13,-4
6214403,-3,13,-38,-5,-6,-4,2,8
6226637,-11,-10,-4,-4,1,-1,-7,-1
6226637,10,-4,-1,5,0,-1,9,2
6233665,-6,-3,-9,-7,0,0,-3,-1
6233665,11,3,20,1,1,0,3,3
6249699,-9,-16,-14,-1,-3,-1,-11,-3
6249699,-20,10,14,-1,-4,-5,-7,-7
6256638,-5,1,-7,-1,1,0,-1,-8
6256638,1,-8,-3,-3,-3,-3,-4,-5
6272706,20,9,22,7,-1,-1,-2,23
6272706,0,-6,-16,-11,-2,-1,3,2
6274131,-3,6,-1,0,0,0,-10,-6
6274131,-9,-11,-19,-7,-5,-2,3,-1
6286359,-6,2,13,0,-2,-4,-13,-11
6286359,1,2,1,6,2,0,10,1
6293360,0,-2,5,-3,-3,0,4,8
6293360,8,0,2,-3,-3,-1,-1,-5
6309396,10,-1,-10,-2,2,1,-2,-4
6309396,-2,0,-4,0,-1,-2,-14,-7
6316356,15,6,21,2,1,1,16,0
6316356,-24,-11,-48,1,1,-1,-1,-2
6332537,-6,2,-4,-6,-2,-3,1,-3
6332537,3,-5,6,2,2,1,1,-2
6334356,-8,-2,7,0,-3,-2,-9,-7
6334356,14,2,22,-2,-1,-1,0,7
6346429,-11,5,14,7,1,0,4,-3
6346429,-6,-6,-27,-4,-1,-1,-2,-4
6355424,-9,4,2,-12,-1,-5,-16,-7
6355424,2,0,13,12,6,2,24,6
6369878,-6,-11,-7,-1,-7,-3,-8,-6
6369878,16,22,11,-9,-2,-3,-2,-11
6376655,-4,-9,-12,2,-6,-1,-7,-2
6376655,-3,-17,6,-13,1,0,-12,-5
6400538,-4,3,4,0,-3,-2,-22,-2
6400538,-3,-11,-5,5,3,4,51,6
6402538,-4,14,-10,2,1,-1,-7,9
6402538,17,4,8,1,-4,-1,-10,-8
6406538,1,-4,1,-5,-4,-2,-2,2
6406538,0,-2,-1,-5,-3,-2,-5,0
6415538,-6,1,0,4,-3,-3,-2,2
6415538,5,-2,15,6,1,3,0,-3
6429793,3,7,-3,-5,0,0,8,3
6429793,-3,2,-3,4,-3,-3,-21,-1
6436793,11,-2,0,-3,-1,-2,10,-2
6436793,-15,-4,14,-8,-2,-2,7,2
6452792,15,-7,-39,-15,-4,-4,-16,-3
6452792,-11,0,11,11,1,-2,22,0
6454540,2,9,-2,-3,-3,-3,-13,5
6454540,-10,4,1,0,0,-3,-6,-7
6466519,-10,-21,-11,-8,-5,-5,4,-5
6466519,-5,3,-6,-7,-2,0,4,2
6475259,2,-21,-7,0,-4,-3,2,-5
6475259,-5,12,7,-8,-3,-5,1,3
6489476,1,14,11,6,3,-1,-11,-3
6489476,-1,-10,-4,-1,-2,0,-15,-3
6496847,2,-4,3,1,3,4,15,-1
6496847,-10,12,-24,-4,-3,-2,-9,2
6512851,17,-7,8,0,0,-3,-3,-12
6512851,-8,0,-6,-10,-8,-2,2,4
6514513,-16,-2,-7,-1,2,-1,-10,0
6514513,7,-5,-11,7,-2,0,11,5
6526850,-1,-2,-3,-6,-3,-3,8,-7
6526850,-3,4,9,1,-4,-4,-14,-3
6535483,6,-2,-8,-1,3,1,-3,-7
6535483,-9,-5,16,3,-3,-1,-8,-1
6549853,-5,13,-18,0,-1,1,5,-1
6549853,7,5,1,-3,0,-2,-2,2
6556481,-18,-6,11,1,-1,-2,-8,-4
6556481,-4,-27,-7,0,-3,0,-6,-2
6572506,2,-3,0,2,1,1,2,-1
6572506,3,-8,-4,-6,-1,-2,-9,6
6574521,10,15,-3,-1,0,0,0,-6
6574521,-5,5,4,0,-2,-1,0,4
6586514,-8,-5,4,0,1,2,-18,4
6586514,0,0,-8,-1,-1,-1,0,-7
6595513,-11,-5,2,-2,-2,-2,-4,-5
6595513,18,0,-1,-1,-2,-1,-7,2
6609556,-16,-4,15,-3,-5,-4,-13,-3
6609556,-2,2,-17,2,1,-1,5,-2
6616525,-6,-6,4,-3,0,-2,-2,7
6616525,14,-3,-2,4,-1,-1,-9,-5
6631530,-4,13,9,2,0,-3,5,-1
6631530,-2,-22,-21,-5,-3,-3,-7,-3
6638515,3,-5,-6,-3,-3,0,5,1
6638515,-6,23,19,3,1,0,-2,-5
6646560,-7,3,1,-1,-1,-2,14,0
6646560,-5,-29,-1,-2,-3,-1,-6,-6
