,gyro_x,gyro_y,gyro_z,orin_x,orin_y,orin_z,orin_w,roll,pitch,yaw,acc_x,acc_y,acc_z,Key
1892,-1.375,1.375,0.75,0.327637,0.119202,-0.242554,-0.905334,-0.710379,-0.0569265,0.544666,0.047363300000000004,-0.676758,0.766602,Backward
1896,1.875,0.625,1.0,0.327148,0.119019,-0.24267600000000003,-0.905518,-0.709278,-0.0567953,0.544745,0.06738279999999999,-0.652832,0.780273,Backward
1900,2.5625,0.5,1.75,0.326721,0.11871300000000001,-0.242981,-0.90564,-0.708234,-0.056278699999999994,0.54509,0.055175800000000004,-0.6469729999999999,0.772949,Backward
1904,0.25,-0.0625,-0.0625,0.32666,0.11871300000000001,-0.242981,-0.90564,-0.708098,-0.05630840000000001,0.545077,0.060058600000000004,-0.638184,0.766113,Backward
1908,-1.625,-1.0625,-0.25,0.326782,0.119019,-0.24291999999999997,-0.9055790000000001,-0.7085359999999999,-0.05682809999999999,0.545197,0.06738279999999999,-0.6577149999999999,0.774414,Backward
1912,-2.625,-1.25,1.1875,0.327271,0.11926300000000001,-0.243164,-0.905334,-0.7097140000000001,-0.056815,0.545895,0.055664099999999994,-0.680664,0.777832,Backward
1916,-0.9375,-1.1875,4.0,0.327515,0.119019,-0.243896,-0.9050290000000001,-0.710073,-0.0557,0.547126,0.038574199999999996,-0.686523,0.799316,Backward
1920,-4.0,-4.6875,2.0625,0.32782,0.11944600000000001,-0.24456799999999998,-0.904724,-0.711015,-0.055811599999999996,0.548787,0.030273400000000002,-0.6577149999999999,0.7929689999999999,Backward
1924,-6.5,-8.1875,-0.625,0.328552,0.121155,-0.24475100000000002,-0.904175,-0.713581,-0.05829630000000001,0.550473,0.06542970000000001,-0.632324,0.71582,Backward
1928,-1.375,-1.3125,8.9375,0.32922399999999996,0.12091099999999999,-0.246216,-0.9035639999999999,-0.714875,-0.05641090000000001,0.553171,0.055175800000000004,-0.7246090000000001,0.7929689999999999,Backward
1932,1.8125,3.8125,0.875,0.32922399999999996,0.119995,-0.246277,-0.9036870000000001,-0.714316,-0.05474299999999999,0.552602,0.038085900000000006,-0.661621,0.7597659999999999,Backward
1936,1.625,1.8125,-1.1875,0.328735,0.119751,-0.24597199999999997,-0.9039309999999999,-0.713125,-0.0548014,0.551778,0.0610352,-0.619629,0.750977,Backward
1940,-0.5625,-2.25,-2.25,0.32867399999999997,0.12054400000000001,-0.245667,-0.903992,-0.7135090000000001,-0.05648380000000001,0.551808,0.0805664,-0.655762,0.74707,Backward
1944,7.875,-3.4375,-3.0,0.327087,0.121277,-0.24536100000000002,-0.904541,-0.710693,-0.058924699999999997,0.551679,0.0942383,-0.6445310000000001,0.75,Backward
1948,4.375,-2.125,-1.125,0.32605,0.121521,-0.24542199999999997,-0.9048459999999999,-0.708713,-0.059911599999999995,0.5519149999999999,0.0644531,-0.623047,0.755371,Backward
1952,-3.625,-0.875,-1.0,0.326782,0.12170399999999999,-0.2453,-0.904602,-0.710327,-0.0599038,0.551863,0.0429688,-0.6704100000000001,0.757324,Backward
1956,-4.625,0.125,-0.5625,0.327942,0.121826,-0.245178,-0.904175,-0.712761,-0.0595311,0.551773,0.043457,-0.702637,0.7597659999999999,Backward
1960,-1.1875,0.125,0.875,0.328369,0.121582,-0.24536100000000002,-0.903992,-0.713488,-0.058713800000000003,0.551963,0.038574199999999996,-0.6889649999999999,0.7719729999999999,Backward
1964,-0.25,0.875,1.0625,0.328369,0.12133800000000002,-0.24548299999999998,-0.903992,-0.713342,-0.0581914,0.5520149999999999,0.055664099999999994,-0.664551,0.778809,Backward
1968,-1.5625,0.5625,1.0625,0.328369,0.121155,-0.24560500000000002,-0.903992,-0.713238,-0.0577795,0.552117,0.0625,-0.6450199999999999,0.7875979999999999,Backward
1972,-2.75,0.0625,0.0625,0.328491,0.121277,-0.245544,-0.903992,-0.713583,-0.05798060000000001,0.5521159999999999,0.0678711,-0.648926,0.790039,Backward
1976,-2.1875,-0.6875,-0.3125,0.328491,0.121521,-0.24548299999999998,-0.9039309999999999,-0.7137100000000001,-0.0584481,0.552164,0.06738279999999999,-0.655762,0.790039,Backward
