timestamp,x,y,z
0,-0.5625,0.4375,0.25
16001,-1.3125,0.0,0.4375
39002,-0.5,0.9375,0.125
61532,-0.1875,1.0,-0.25
76021,0.3125,-0.0625,-0.1875
99017,1.0,-1.25,0.1875
121018,1.9375,-0.8125,0.375
160566,0.6875,-0.875,0.3125
162564,0.5,-0.9375,-0.4375
174032,1.1875,-1.3125,-0.125
196034,0.1875,-0.8125,0.25
220034,-1.4375,-0.1875,0.375
234035,-1.8125,-0.125,0.1875
278048,-0.25,0.0,0.0625
286049,0.3125,0.0,0.0
298050,-0.5625,-1.375,0.3125
316246,-0.0625,-1.125,0.4375
339174,0.1875,0.1875,0.375
354054,-0.5625,0.75,0.25
376939,-0.5,-0.875,1.0625
399985,-0.625,-1.125,0.5
413615,-0.4375,-0.125,0.25
436873,-0.5,0.0,0.3125
459918,-0.5625,-0.25,0.375
473127,-0.25,-0.5,0.375
496129,0.125,-0.6875,0.5625
519131,-0.4375,-0.4375,0.125
533131,-1.25,0.0,-0.125
556636,-1.1875,-0.4375,0.1875
579143,-0.125,-0.875,0.375
595145,0.25,-0.8125,0.3125
616146,-0.125,-0.625,0.125
639147,0.375,0.125,-0.0625
655420,0.4375,0.375,-0.125
676159,0.0625,0.1875,-0.5625
706161,0.0625,-0.4375,-0.75
715161,0.4375,-0.75,-0.9375
736162,0.375,-0.8125,-0.8125
759886,0.0,-0.4375,-0.4375
775892,-0.4375,-0.125,-0.25
796891,-0.4375,-0.1875,-0.125
819954,0.4375,-0.1875,-0.1875
835875,-0.125,-0.1875,-0.1875
856679,-1.375,-0.1875,-0.8125
879691,-1.875,0.0,-1.4375
895893,-0.3125,0.5,-1.3125
915694,1.125,0.1875,-1.0625
939695,0.3125,-0.25,-0.9375
955695,0.875,-0.8125,-0.875
975708,2.1875,-2.4375,-0.3125
999709,2.0,-2.1875,-1.1875
1015711,1.8125,-1.9375,-1.1875
1035711,1.0625,-1.0625,-1.0625
1059732,0.5625,-1.0,-0.8125
1075740,0.125,-1.25,-1.6875
1095742,0.125,-0.75,-2.0625
1119742,0.6875,-0.625,-2.1875
1141744,0.3125,-0.3125,-2.1875
1155744,0.5,0.3125,-1.875
1178761,1.25,0.875,-1.5
1200763,0.625,0.625,-1.6875
1215879,-0.8125,-0.5625,-2.5625
1238765,-2.125,-0.6875,-4.125
1261277,0.625,1.0,-2.6875
1276792,1.125,1.75,-1.3125
1299798,-1.1875,1.9375,-2.3125
1321795,1.0625,1.5625,-3.0
1336796,3.4375,1.625,-3.5
1360316,2.5625,1.3125,-3.625
1381878,1.25,1.75,-2.8125
1403824,-1.5,0.25,-4.1875
1419879,0.5625,0.75,-5.5
1441878,5.4375,0.8125,-4.8125
1457889,7.1875,0.875,-4.75
1479993,5.125,1.75,-5.125
1502000,2.75,1.375,-5.75
1516844,2.8125,0.625,-6.6875
1540845,5.25,1.25,-7.75
1561860,7.625,3.375,-9.3125
1576874,5.8125,4.3125,-9.75
1599870,3.9375,2.625,-10.75
1620872,5.0625,1.375,-11.1875
1636901,10.125,1.4375,-10.5625
1668730,12.3125,3.125,-9.9375
1681215,7.25,2.625,-10.5625
1697013,5.375,1.4375,-11.625
1720015,9.3125,2.875,-13.0
1744017,10.5,4.0625,-12.9375
1757543,7.0,5.1875,-13.125
1780125,4.1875,6.5,-14.1875
1802126,4.9375,6.75,-15.6875
1818127,9.3125,7.9375,-16.75
1840128,11.0625,6.125,-15.1875
1861728,10.75,3.5625,-13.8125
1876945,8.1875,1.5625,-13.25
1899945,9.1875,3.625,-13.75
1920946,10.0625,5.9375,-12.6875
1936981,8.875,6.0625,-12.3125
1960752,8.6875,5.25,-12.8125
1981982,10.6875,5.875,-13.3125
1997763,11.0625,5.0625,-12.1875
2019904,10.375,4.0625,-12.625
2043905,9.6875,2.125,-12.4375
2057660,7.625,-1.125,-11.375
2094926,6.9375,-2.5625,-11.9375
2102924,8.0625,-5.1875,-11.0625
2117925,15.375,-4.25,-11.1875
2139929,17.9375,-4.875,-10.0625
2163445,13.0,-3.0,-9.125
2183962,8.875,-0.625,-8.625
2200955,5.1875,-0.75,-6.3125
2222957,6.4375,-1.4375,-3.75
2236972,5.8125,-2.4375,-1.0
2260520,0.125,-1.8125,-5.125
2282991,2.5,6.375,1.625
2296992,-0.625,9.0,0.8125
2319993,3.75,4.75,0.9375
2342994,-0.25,0.6875,-1.6875
2365515,6.625,-3.0,-3.625
2380016,5.5625,-2.625,-2.875
2403017,0.6875,-2.5625,-2.4375
2424058,0.625,-1.125,-2.625
2440019,2.1875,1.125,-2.4375
2463539,2.0,1.375,-1.5625
2484515,0.375,0.5,-0.625
2500453,1.25,1.3125,0.8125
2523242,1.1875,3.0625,3.0625
2544519,0.0,3.5625,1.3125
2560994,-0.5,2.8125,1.25
2583266,0.0,1.8125,1.625
2604269,2.0,1.875,1.75
2620287,3.0625,1.6875,-0.125
2650270,2.3125,0.9375,1.0625
2664279,1.5,0.75,2.0625
2680286,2.0,1.125,1.6875
2703288,0.6875,0.5625,1.1875
2724289,-0.9375,0.6875,1.5625
2740527,-2.125,1.1875,1.4375
2763745,-3.25,0.6875,2.0
2783837,-1.75,0.3125,2.0
2799700,-1.625,0.0,2.0625
2821701,-1.625,0.125,1.8125
