timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
188992,-1,6,15,4,-2,-2,-3,0
188992,1,1,10,-1,-3,-2,-3,-1
189707,-4,-1,-10,-3,-2,-2,-1,0
189707,3,2,-6,-3,-1,-1,-2,3
190708,-2,-6,9,2,0,-1,3,1
190708,-2,1,11,2,0,-1,-1,-5
191708,-5,10,11,4,0,-2,-5,2
191708,7,-11,-35,-5,-3,-2,-1,-5
203028,-2,5,3,-7,-5,-1,-3,-1
203028,-3,-8,-6,-2,-2,1,-4,-2
210709,7,0,7,6,0,1,-3,-5
210709,6,-19,8,-13,-2,-2,-2,-6
216710,2,14,-20,2,1,-1,2,4
216710,-3,-8,-2,-2,-2,-2,5,-5
231712,-6,-9,8,-8,-1,-1,-10,-4
231712,-6,19,20,14,-3,-3,-1,0
242397,0,-9,-11,-4,-3,-2,-4,-2
242397,0,1,8,-2,0,0,1,-3
246735,-4,-5,-9,3,1,-1,-2,0
246735,-8,-6,12,-2,-3,-1,-2,-1
262752,0,7,-35,-8,1,1,2,0
262752,-3,7,-13,0,-6,-4,-7,-1
270747,2,-26,-1,-7,-7,-4,4,-3
270747,-5,2,5,1,2,0,-4,-2
300747,0,5,-8,-6,0,1,-2,2
300747,4,4,-1,1,-2,-2,-2,0
307753,-1,4,-4,-3,-1,-1,-2,-6
307753,-3,-5,7,3,0,0,-2,-2
308747,-6,0,-9,-2,-2,-2,-1,2
308747,12,-3,-2,0,0,1,-2,-4
309749,-3,-9,-10,-2,-4,-3,5,-1
309749,2,5,12,-1,0,1,-15,0
322754,-1,9,3,3,1,0,3,-5
322754,-7,-10,-30,-14,-8,-4,-2,-2
329750,0,13,1,4,1,1,0,0
329750,5,-9,-28,1,0,-2,-2,-4
336749,1,-2,-15,-11,-4,-5,-2,-4
336749,-5,-10,-4,-4,-1,-1,-2,0
351756,1,6,24,3,0,0,-2,1
351756,-7,10,11,6,-2,-2,2,0
359761,0,-26,36,6,2,2,1,4
359761,-4,16,-17,-15,-2,-2,-1,-1
366761,-4,-3,5,-4,-1,-2,-3,1
366761,2,-6,-8,-6,-2,0,8,1
382767,5,16,10,7,-3,-4,-1,-2
382767,-1,-5,30,9,0,0,-1,0
389764,-9,-10,-22,-6,0,0,-2,4
389764,-1,8,8,2,-1,0,0,0
396764,-1,-15,-9,0,-3,-2,-3,-3
396764,-1,4,3,-8,-8,-5,-3,-1
411892,-3,4,9,0,2,0,-1,-4
411892,5,-24,-18,-7,-2,0,5,-2
419764,-9,-6,-16,-3,-1,-1,-3,-4
419764,-1,1,12,8,3,1,0,-1
426765,1,6,-22,-5,-5,-3,-1,3
426765,-2,4,11,2,1,-3,-4,2
442772,-3,-5,18,-4,0,0,0,-6
442772,-12,-6,-14,4,2,0,0,-1
449773,8,-5,-4,0,-2,-1,-4,-3
449773,3,-3,2,-6,-2,-2,-2,2
456777,-3,14,-20,-3,-3,-1,-1,0
456777,3,2,22,5,3,0,3,-1
471778,-7,-18,-12,-7,-4,-1,1,-6
471778,13,14,1,4,0,-1,-3,2
479779,-7,-4,1,1,0,-1,-2,1
479779,-5,-17,-29,-19,-5,-4,-2,-10
486780,-1,1,7,0,-2,1,-1,-2
486780,-5,4,-8,-1,-1,-1,1,-5
502780,3,10,0,4,3,-1,-4,1
502780,1,-19,14,12,8,3,1,5
509781,-9,1,-20,-1,-4,-5,-3,-8
509781,8,0,3,-5,-4,-3,-1,3
524782,5,-2,-6,2,0,0,0,-1
524782,1,1,23,3,0,0,-1,2
531782,5,2,-18,-3,-1,-1,0,0
531782,-13,-20,-10,-10,-5,-4,-4,-2
539788,-4,1,3,4,2,-2,1,-2
539788,6,5,-9,-2,-2,-1,0,1
547289,-3,-7,13,0,-2,-2,-4,-7
547289,-7,10,-6,-2,1,1,1,2
562794,0,5,-1,-3,-1,-2,-2,-1
562794,0,-4,1,14,-1,-2,-2,-1
569794,-1,1,-22,-30,-2,-2,-1,-3
569794,-2,-10,26,7,1,0,-1,-3
576894,-4,-15,-19,-13,-5,-1,-1,-3
576894,-5,13,-1,3,-3,-1,-4,-1
591796,-5,1,24,10,1,-1,-5,3
591796,-7,4,-25,-7,0,0,3,-7
599881,5,4,4,0,-3,-1,-1,10
599881,-1,-2,-2,2,2,0,-3,4
614802,9,5,-6,-8,-2,1,-3,3
614802,-3,-7,-6,-4,-2,-3,-1,-2
622992,-2,10,16,10,3,-1,0,-4
622992,-3,-3,-11,-11,-5,0,-1,-1
629797,-3,3,18,9,1,0,2,2
629797,-2,2,-5,2,3,0,-8,-5
636992,12,-7,-8,-9,-4,-1,2,3
636992,-13,-10,21,-3,0,-1,0,-3
652249,0,-4,-4,7,2,-1,0,-3
652249,-2,-2,17,0,-2,-2,0,5
659751,3,3,-12,-4,-1,-1,-3,0
659751,-3,5,1,-10,-1,-1,1,-2
674751,-2,-2,-3,5,1,-1,-1,0
674751,-3,13,7,2,-1,-1,3,-6
682750,-7,-11,-22,0,-2,-1,-2,7
682750,-1,2,-10,-1,-3,-3,-1,0
689753,-3,-6,4,-1,-2,-1,-2,-8
689753,-5,8,5,-2,0,0,-4,-7
696506,-8,-29,-3,0,0,1,1,2
696506,3,0,-22,-8,-4,-3,-4,-7
711704,5,0,2,-2,-4,-2,-5,-8
711704,6,3,18,-2,-3,-1,0,9
719758,-15,3,5,1,1,0,11,-6
719758,0,7,9,2,-1,-2,-3,5
743015,1,-4,3,-1,1,0,-1,2
743015,1,-3,-9,3,0,-1,-1,-6
744261,-1,-6,3,-1,-6,-4,-7,-8
744261,7,3,-2,-4,1,-1,-1,0
750260,-7,8,0,0,-1,-1,0,-2
750260,-5,-20,-25,-3,-3,0,-1,6
756929,-1,11,7,-1,-1,1,-2,-1
756929,-8,-25,-15,-1,-3,-2,3,-3
771929,9,-1,3,0,-3,-1,0,5
771929,-1,0,35,5,-2,-3,-1,-3
779726,0,13,-1,-11,-2,-1,-7,-7
779726,1,8,-16,0,0,1,0,0
794929,9,15,18,2,2,-1,-2,1
794929,-9,-14,-9,-4,-4,-3,-4,-3
802927,1,-3,18,3,-2,-1,-5,-14
802927,1,5,9,-2,1,-1,-1,4
809926,-5,-11,-5,4,-1,-3,-1,2
809926,-1,-2,-9,-4,-2,-2,-3,-3
816721,-1,5,-6,-2,0,-1,-1,-12
816721,2,-7,-1,-3,-4,-2,-2,-5
831721,5,7,10,3,3,2,2,12
831721,-3,-4,-13,-3,-4,-1,-1,-4
840235,-10,-22,-10,1,-1,-3,0,5
840235,-5,2,-23,-5,-2,-4,-3,-7
854745,-5,-1,-9,-4,-2,-2,-1,-2
854745,0,2,-9,-4,-1,2,0,2
870746,3,7,4,2,1,0,-1,-2
870746,0,2,7,2,-1,0,-1,-6
872746,-7,-7,-10,-2,-3,-3,-1,0
872746,-3,-2,6,-4,0,0,0,-5
876746,2,-9,21,0,1,-2,0,7
876746,-4,11,3,4,1,0,0,-3
