timestamp,x,y,z
0,-0.625,0.1875,-0.125
22018,-0.75,0.25,-0.125
45989,-0.875,-0.1875,0.1875
60996,-0.875,-0.0625,0.0
82035,0.0625,0.0625,0.125
106245,0.1875,-0.3125,0.5
120997,-0.3125,-0.6875,0.3125
142350,0.6875,-0.3125,-0.6875
181708,1.6875,-0.1875,-1.0
182708,0.8125,-0.75,-0.5
203709,0.1875,-1.125,-0.375
226036,-0.875,-0.125,-0.3125
243235,-1.25,0.6875,0.1875
263747,-1.0625,0.5625,0.4375
299747,-0.875,0.3125,0.1875
323749,-0.3125,0.25,-0.625
324749,-0.25,0.125,-1.1875
344755,-0.5625,0.0625,-0.6875
360761,0.625,0.25,-1.0
383763,0.0625,-0.3125,-0.6875
404926,0.25,-0.3125,-0.6875
420765,0.5,0.25,-0.25
443771,0.25,0.0,0.25
464778,-0.3125,-0.625,0.0625
480779,0.125,-0.375,-0.25
503780,-0.75,-0.1875,-0.25
525781,-1.9375,0.0625,-0.0625
540787,-1.875,-0.1875,-0.0625
563794,-1.3125,-0.3125,-0.125
584801,0.6875,0.0,-0.4375
606802,0.5,0.625,-0.5
623991,-2.25,0.25,-0.1875
644999,-3.6875,0.125,-0.6875
666707,-3.5,1.3125,-0.9375
683506,-2.875,1.5625,-0.6875
704756,-1.3125,0.75,-0.6875
726704,0.625,0.3125,-0.875
745260,1.875,0.9375,-0.6875
764918,1.25,1.25,-1.1875
786930,-0.6875,0.125,-1.8125
803930,-0.1875,0.5625,-1.625
825013,1.375,0.5625,-1.5625
847235,1.9375,0.875,-1.9375
871746,-0.0625,0.5625,-1.375
884751,-1.5,-0.125,-2.125
906962,0.0625,0.9375,-3.3125
923748,2.5,2.0625,-3.0625
946200,-0.125,1.625,-2.125
967296,-4.9375,1.1875,-3.3125
983965,-2.125,2.1875,-5.0625
1005967,2.25,2.6875,-4.625
1027008,3.0625,2.0625,-4.3125
1044005,2.5625,0.5,-4.5
1073044,1.375,-1.1875,-5.0625
1087024,2.1875,-0.75,-6.8125
1104012,3.1875,1.625,-7.3125
1126007,2.375,3.3125,-6.9375
1155021,-1.125,3.125,-6.25
1164022,-0.625,3.125,-6.1875
1186023,1.6875,2.8125,-7.5
1207059,4.0,3.1875,-9.625
1224030,5.0,4.6875,-10.6875
1246277,3.5625,4.125,-10.75
1266648,1.3125,3.1875,-10.75
1283677,2.25,2.25,-11.0625
1305455,4.5,2.6875,-11.1875
1326652,4.4375,2.0625,-9.4375
1343660,5.0625,1.625,-8.1875
1365362,5.25,2.0625,-9.5
1387363,5.375,3.9375,-11.4375
1403363,5.1875,5.0,-12.1875
1433365,5.5625,5.1875,-11.4375
1446873,5.5,4.9375,-11.75
1463389,3.8125,5.0625,-12.5
1485390,1.5,5.5,-12.6875
1506396,-1.0,5.0625,-12.5
1523392,-0.8125,5.125,-11.5
1545898,2.1875,4.125,-9.9375
1566404,5.375,4.0,-10.25
1583406,1.75,4.25,-9.375
1605407,0.1875,3.6875,-8.375
1626409,0.4375,3.375,-7.3125
1643917,1.6875,2.0,-6.8125
1665433,1.25,-0.125,-6.8125
1686434,1.6875,-0.6875,-7.375
1710436,0.625,-0.25,-8.25
1725437,-5.1875,-0.875,-7.5
1746959,-13.5,-0.25,-4.9375
1763479,-15.5625,-3.4375,-2.3125
1785481,-5.5,-4.9375,0.4375
1806487,5.25,-2.625,2.75
1823482,7.5,-3.75,5.0625
1846235,7.125,-2.25,6.4375
1866893,7.625,-3.0625,1.4375
1889902,7.8125,-3.75,-0.5625
1905696,24.3125,-2.8125,4.375
1928698,35.625,-3.375,11.625
1950375,6.25,7.25,12.9375
1966007,-20.1875,3.0625,13.875
1989006,-14.5625,3.5625,0.375
2010347,5.3125,4.5,-4.125
2026009,8.5,1.625,-9.125
2048819,5.9375,-3.25,-9.8125
2070369,2.125,-4.8125,-4.125
2085372,1.4375,-1.0625,1.5625
2108374,-0.75,2.0625,2.375
2130152,-2.375,3.9375,-0.0625
2146162,-1.375,2.0625,0.0
2168458,3.8125,0.0625,-0.8125
2189688,6.0625,-0.5,-0.8125
2205460,3.25,0.6875,0.5625
2228462,-1.6875,2.9375,1.25
2249983,-5.5625,1.625,0.0
2265490,-3.375,-0.75,0.0
2288491,-0.8125,-1.0,-0.5
2309703,-0.25,-0.625,-1.0
2325494,-2.3125,0.9375,-0.625
2348717,-5.3125,-0.0625,2.3125
2370203,-5.0625,-0.9375,2.375
2386206,-5.375,-1.625,2.625
2408945,-2.4375,-0.125,1.375
2429946,-1.1875,1.125,0.4375
2445971,-3.8125,0.25,0.5625
2468980,-3.0625,-1.25,0.4375
2490322,-2.625,-1.4375,1.125
2505983,-1.5625,-0.6875,1.4375
2529019,-2.0,-0.4375,0.9375
2549797,-3.1875,0.0,0.75
2566341,-2.0625,-0.9375,0.4375
2588355,-0.75,-1.25,0.125
2610355,-0.0625,-0.75,0.0
2625316,-0.0625,-0.75,0.375
2648841,-0.8125,-0.875,0.625
2669821,-1.25,-0.5625,0.5
2687562,-1.5,-0.5625,0.75
2708563,-0.125,-1.0,0.4375
2729586,-0.4375,-1.4375,0.125
2746075,-2.125,-1.25,-0.1875
2768581,-4.25,-1.6875,-0.125
2797583,-7.4375,-2.8125,0.3125
2805583,-9.25,-3.0,0.5625
2828585,-13.0,-1.9375,1.125
2851107,-14.9375,-2.0625,1.875
2865121,-8.75,-2.25,0.9375
2889255,-1.5625,0.6875,1.0625
2911253,-0.625,0.9375,3.625
2925350,-0.4375,-1.6875,3.8125
2949241,-1.25,-2.8125,4.4375
2970358,2.375,-0.4375,4.375
