timestamp,x,y,z
0,-2.4375,-0.0625,0.625
15999,-1.8125,-0.0625,0.875
38545,-1.1875,-0.3125,0.625
62020,-2.1875,0.0,0.625
77020,-0.125,-0.375,0.5625
98022,0.875,-0.5625,1.0625
123055,-0.75,-0.8125,0.6875
176495,0.0,-0.0625,0.875
177250,0.6875,0.75,1.0625
185443,-1.625,-0.3125,1.375
200281,-2.1875,-0.1875,1.375
219246,-0.5,0.25,1.0
242767,-0.75,0.1875,0.9375
257307,0.0625,0.6875,0.625
303486,-1.0625,0.0,0.75
306276,-1.125,0.4375,0.5
323345,0.125,1.125,1.125
339017,0.8125,1.4375,1.5625
361289,0.625,1.5,1.75
383290,1.0625,1.375,1.8125
399293,-0.0625,1.375,2.0
421535,1.0625,1.875,2.25
443799,0.0625,0.375,2.625
458341,-1.625,0.875,2.6875
481546,-1.0,1.125,2.8125
504518,-1.1875,1.4375,3.4375
518309,0.375,1.875,3.875
541840,1.3125,1.25,4.5625
563840,1.5,0.25,5.3125
579037,0.1875,-2.625,6.5
601006,-0.9375,-3.5625,7.75
624010,0.875,-2.875,8.4375
638788,1.4375,-0.8125,8.75
660072,0.875,-0.125,10.0
684072,0.8125,-0.9375,7.5
698082,-1.625,-1.25,6.0625
720075,3.5625,0.1875,3.75
743587,8.1875,1.875,3.125
758087,9.1875,3.4375,1.9375
780088,6.3125,2.0,0.0625
803089,5.4375,1.125,-1.75
819091,9.75,0.9375,-1.125
840841,11.875,1.4375,-2.0
863102,12.1875,1.0625,-2.0625
878102,14.9375,0.875,0.125
900103,14.625,0.5,3.6875
923104,11.9375,-1.5,5.0
939611,10.3125,-1.625,3.1875
960117,11.0,-2.125,4.0625
983118,13.75,-2.125,6.375
999119,13.1875,-2.25,10.8125
1020120,14.125,-2.25,12.375
1043627,14.9375,-2.375,13.3125
1059133,14.9375,-3.25,12.3125
1080134,14.875,-2.25,10.5
1103136,15.1875,0.625,7.125
1119136,17.125,1.625,5.6875
1140644,18.8125,1.25,2.25
1163150,14.3125,-2.3125,0.5
1179151,8.125,-6.1875,2.375
1200151,4.875,-8.625,4.0
1223354,-0.8125,-6.4375,3.875
1239949,2.375,-6.0625,2.625
1260262,15.5625,-3.375,1.6875
1283068,11.8125,0.0625,5.0
1299064,-0.6875,-0.375,5.75
1320065,-4.8125,-1.5625,4.375
1343816,0.125,-1.875,6.75
1359279,8.6875,-2.5625,6.125
1382282,4.5,-1.6875,4.0625
1403619,-3.4375,-1.0625,3.625
1419284,-2.5,0.8125,1.9375
1440884,-0.75,1.0,1.3125
1462906,2.0625,-0.375,2.8125
1479907,6.0,2.75,2.25
1501067,5.75,5.875,4.375
1524068,2.125,4.9375,4.5
1539434,-0.1875,2.9375,2.125
1559946,7.25,4.1875,1.0
1582945,8.0,3.375,3.375
1604945,5.125,3.1875,3.9375
1619946,5.5625,2.75,2.625
1643895,9.9375,2.6875,-0.625
1665356,15.125,4.6875,-1.625
1680357,13.0,5.5,-1.8125
1703635,10.25,5.0625,-2.5625
1725359,8.4375,3.25,-2.4375
1740370,9.625,-0.25,-3.75
1763375,9.875,-0.0625,-5.25
1785381,12.5625,3.3125,-6.375
1802378,10.5,4.875,-4.625
1823414,11.375,2.5,-5.8125
1845835,10.125,2.375,-7.9375
1860783,5.5625,1.75,-8.6875
1884002,7.625,1.75,-8.9375
1905973,10.9375,-0.625,-7.0625
1922788,13.6875,-0.6875,-8.25
1943885,7.5,0.0625,-9.5
1965095,4.0,0.25,-9.1875
1982093,8.0,3.0625,-9.3125
2003363,5.4375,4.75,-8.0625
2025382,2.375,3.0625,-9.25
2043019,3.5,2.8125,-8.9375
2063685,7.125,3.1875,-8.625
2085685,8.6875,2.375,-7.5
2102685,10.1875,1.375,-5.375
2123692,8.9375,1.0625,-4.4375
2145742,7.375,1.5,-5.875
2162747,9.0,2.75,-6.9375
2183749,12.3125,4.8125,-6.375
2205750,13.0625,5.0,-5.125
2222752,8.75,4.3125,-4.25
2243702,4.875,3.3125,-4.375
2265468,5.875,2.5,-5.375
2282468,8.4375,4.125,-5.9375
2303745,11.8125,5.875,-6.1875
2325684,9.125,3.875,-6.875
2342730,5.6875,0.3125,-8.3125
2363687,5.9375,-0.375,-10.25
2385912,7.625,2.375,-10.875
2402912,7.25,5.4375,-9.5625
2423941,7.625,4.6875,-7.9375
2446097,7.125,2.125,-5.875
2462575,5.3125,1.375,-4.8125
2491615,4.625,2.5625,-7.3125
2505549,4.5625,3.9375,-9.4375
2522810,3.0,3.5625,-9.0625
2543610,0.375,2.375,-9.8125
2564832,-0.875,3.3125,-10.0625
2588925,3.75,3.6875,-10.3125
2603924,5.25,4.0,-10.0625
2625920,2.8125,2.75,-8.625
2642814,2.3125,2.0625,-7.6875
2663985,4.6875,0.8125,-6.8125
2685925,7.625,2.5,-6.625
2702776,6.3125,3.9375,-6.75
2723778,2.4375,3.1875,-7.875
2745795,0.6875,2.8125,-7.9375
2762803,-0.3125,2.75,-6.8125
2782809,-1.4375,3.0625,-5.125
2805909,-0.875,2.375,-4.3125
2828886,2.0625,3.3125,-5.0625
2844505,3.125,4.125,-5.125
2865018,2.125,2.5625,-3.3125
2888235,3.625,0.875,-3.25
2913054,5.3125,0.6875,-3.3125
2925218,6.125,1.5,-3.0625
2948813,4.875,1.0625,-2.375
2964610,3.8125,0.9375,-1.8125
2985617,2.6875,0.4375,-1.75
3008618,2.125,0.25,-1.4375
3024613,2.1875,0.1875,-1.1875
3047624,1.6875,0.75,-0.6875
3068852,1.375,0.4375,-0.25
3084638,1.375,0.125,0.375
3105868,2.0625,0.25,1.3125
3129029,0.5625,0.875,2.1875
3145036,-2.625,1.0,1.9375
3166251,-3.6875,1.3125,0.6875
3188253,-3.625,1.1875,1.5625
3204253,-1.75,0.0625,4.0
3225259,-0.5625,-0.375,5.25
3248775,0.25,1.75,5.5
3264283,0.5,2.3125,4.125
3285501,-0.3125,0.375,3.4375
3308547,-0.4375,-1.9375,4.0625
3326287,0.6875,-2.0,3.875
3346296,0.3125,-0.875,4.5
3368640,-2.0,-0.25,5.1875
3385641,-3.6875,-0.75,4.6875
3405908,-2.5625,-1.0,4.0
3428874,-0.5625,-1.375,4.1875
3444937,-0.1875,-2.5625,5.3125
3467006,0.3125,-2.8125,6.25
3487900,0.375,-0.5625,5.9375
3503901,-1.0,-0.9375,5.5625
3525927,-1.6875,-1.9375,3.5
3548442,1.9375,-1.75,4.5
3563912,5.9375,-0.3125,3.9375
3584919,1.9375,2.0,5.6875
