timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
182050,1,-6,7,1,-2,-3,-2,-1
182050,3,-3,9,0,-4,0,-8,1
183050,-3,-7,6,7,0,-1,5,-5
183050,0,1,1,-40,-7,-3,-4,-3
184050,-3,2,12,5,-1,-2,-1,-4
184050,-3,-12,-13,-2,-1,-2,-10,-4
185050,14,4,8,4,0,-2,-2,2
185050,0,5,18,35,5,2,4,-1
196049,-18,-10,-33,-23,-7,0,2,6
196049,-2,14,1,-5,1,1,1,-10
211345,4,-9,-8,4,-2,-1,-6,-1
211345,-2,-2,-10,-1,-1,-2,0,0
212047,-6,2,-10,3,3,0,22,-2
212047,6,0,-5,2,-3,0,1,2
227048,1,1,-8,-9,-1,-1,-5,0
227048,-13,-10,-5,3,-6,-3,-3,-3
235297,4,-6,4,-13,3,2,-7,-2
235297,-15,9,-2,16,1,1,-4,-2
240061,1,0,6,-23,-11,-3,-6,-4
240061,-3,-1,-12,-28,-2,0,11,1
265278,3,-14,-11,30,1,-1,-6,-3
265278,8,4,4,-2,5,0,3,7
268278,-20,-13,3,0,0,-2,-11,-3
268278,11,10,-4,5,-5,2,-2,4
294280,-6,-7,-3,9,0,-1,-5,-6
294280,-1,-5,13,-15,-3,-2,5,4
301280,-2,0,-6,-3,1,-1,12,1
301280,-2,-2,1,5,-2,-1,-2,-4
302280,-1,9,-9,-4,0,1,-5,1
302280,-10,-4,2,7,-1,0,9,-6
303280,9,8,7,-2,0,-2,-5,2
303280,-4,-9,-9,-12,-6,-3,-1,1
316281,11,-4,2,1,-1,-3,-2,-4
316281,-8,-1,2,18,1,0,-7,-2
322469,-5,2,-6,28,0,1,1,0
322469,-1,-6,-21,-45,0,-2,-2,0
330287,2,12,15,20,-3,-2,3,-6
330287,7,-6,-8,-33,-2,-2,-5,-6
345300,-6,-1,-16,8,0,1,-1,1
345300,4,0,16,23,1,-3,-3,-2
361472,-5,-1,9,-4,2,2,0,-2
361472,1,4,-1,10,4,2,-2,-1
363466,2,5,5,-8,-8,-6,-6,-5
363466,-1,2,8,5,-1,0,-1,5
376470,-3,-8,-9,-11,1,0,9,1
376470,-6,3,-1,8,1,-1,-1,-1
382468,-2,-16,-11,-20,-1,-1,-16,-3
382468,4,3,12,4,-4,-3,1,-3
390473,-1,-1,-4,-3,-3,-3,8,1
390473,7,1,-3,0,1,0,-4,1
405463,-4,-4,2,-13,-8,-4,-1,-3
405463,8,-14,-17,15,6,2,-11,2
412463,-12,-13,13,-15,-2,-4,-12,-2
412463,-6,2,-14,-8,-8,0,2,-1
422304,6,1,18,28,4,-2,-2,-6
422304,0,17,-41,-31,-3,0,5,-6
436327,-1,-13,-2,7,-1,-2,-1,0
436327,1,1,23,6,1,-3,-2,1
442430,-2,-3,-15,-7,-5,-2,0,-1
442430,-5,6,24,27,1,-3,1,-2
450549,-5,0,-10,3,-1,0,0,-3
450549,1,-9,-20,-20,-2,1,-6,-2
465552,-7,1,-10,-2,-2,-3,2,0
465552,-12,9,16,-8,1,3,7,-2
473552,19,-3,-8,-7,-3,-3,-6,-2
473552,13,-6,11,0,-5,-3,-2,-4
486554,-15,-1,7,-1,3,1,-3,2
486554,-3,-14,0,4,0,-1,-4,1
495589,-3,9,-2,2,-6,-1,9,3
495589,-4,5,11,24,-1,-1,15,4
502554,2,-9,-11,-36,0,0,1,0
502554,0,5,1,1,0,-1,-11,-6
510554,-6,1,17,8,-2,-4,-14,-3
510554,-3,-12,-13,1,-1,0,-2,3
524561,8,2,1,-1,1,1,-2,-5
524561,-4,9,9,0,-1,-3,2,-1
533384,1,4,-16,-2,8,1,-2,-1
533384,-5,-11,-6,-12,-13,-5,-6,-6
540129,4,0,4,-6,-4,-1,1,1
540129,2,-1,7,14,-1,-1,-3,-4
555595,-3,-7,-13,-34,-5,1,4,2
555595,2,10,-2,3,4,-2,-6,-3
561590,-9,-17,1,5,1,0,0,4
561590,16,5,12,-2,-3,1,4,-4
569589,-6,1,3,1,-1,1,3,-2
569589,-5,1,29,-7,0,0,-1,-1
585589,2,4,-14,4,0,-1,0,0
585589,-6,-5,-9,-5,1,-2,1,-1
592808,1,-4,-3,13,2,2,-4,2
592808,3,4,-8,-3,-2,2,-9,-1
599596,-5,6,16,1,-1,-1,8,-6
599596,-3,-14,-4,1,-6,-3,-2,2
615854,1,4,-4,-8,-2,-3,-4,-2
615854,4,5,-5,-1,1,1,7,-4
621804,-18,-22,-10,4,2,-1,-10,4
621804,-3,0,-14,-4,0,0,13,3
630435,5,-15,2,12,1,1,0,0
630435,0,1,-25,-27,-1,-1,-1,-3
645668,7,16,9,4,-3,-2,-3,-3
645668,2,-2,-4,-14,-3,-3,-4,3
652669,-6,12,3,16,2,-2,-1,1
652669,-12,-4,-1,11,-2,0,1,-2
667670,11,-1,-7,-8,0,1,-1,-4
667670,-12,-11,-8,-5,0,-2,-5,-1
676035,-1,1,2,-12,-13,-2,1,-2
676035,1,-1,-8,1,-1,-3,-3,2
681957,1,1,6,28,-3,-3,-2,-4
681957,-2,-1,-8,-30,4,0,-1,-3
689975,1,-5,-4,-11,-3,0,0,-1
689975,-4,-3,3,2,0,-5,-3,-2
704673,-1,-5,0,-10,-3,-2,-1,0
704673,3,-1,19,19,-2,-2,-1,1
711957,-13,-6,-45,-15,-5,-1,-1,-4
711957,-1,6,17,14,1,-2,-3,4
726680,0,3,-7,-2,-1,-2,2,-6
726680,-3,-9,-10,2,-1,-1,-3,-2
736196,0,3,15,-14,-2,1,-1,2
736196,1,-9,-5,3,-1,-2,-2,2
742492,-1,2,7,-5,-2,-2,-3,-2
742492,-2,1,-4,-3,-3,-2,-5,-2
750098,-7,0,7,6,4,-2,-1,-9
750098,6,-4,-6,0,-1,-2,1,-1
765035,8,1,3,-17,-11,-2,-16,8
765035,-1,-2,-2,4,-1,0,13,-4
781071,1,1,3,9,2,-1,-3,0
781071,-2,1,0,2,3,2,1,-1
786706,15,-5,-5,20,1,0,-9,-3
786706,-10,3,-7,-23,-4,-1,-6,3
796067,0,-1,7,0,0,-5,-2,-1
796067,0,-3,-13,-21,-5,-1,-3,-4
801706,-4,14,11,15,3,1,6,-2
801706,2,-19,9,8,-2,-1,-2,0
809707,4,-1,4,-4,0,-2,0,-4
809707,-9,3,-10,-6,-3,-3,-3,-3
824713,-6,2,15,-4,5,0,5,2
824713,-4,14,-22,2,5,1,-2,-4
832035,-11,-11,5,-3,-11,-2,-4,0
832035,15,-6,-25,4,1,-3,-1,-3
847489,-9,-8,-11,-10,-1,1,3,0
847489,-6,5,16,3,-5,-6,-7,-8
856526,1,18,-3,-6,0,1,-1,3
856526,7,-6,2,0,-5,-1,-1,-4
862487,-12,-9,-15,-6,-1,-2,0,-7
862487,2,-1,0,0,3,-1,6,0
870329,-1,-1,1,4,-1,-2,-16,-1
870329,-3,6,8,-5,0,-1,-2,-3
885492,-6,-5,8,7,2,0,10,3
885492,8,-14,-7,-10,-7,-1,-4,-9
892489,-6,-2,-1,5,0,1,-9,0
892489,-7,1,0,-4,-3,-1,8,-1
907332,3,6,-7,-5,-1,0,-2,1
907332,1,5,30,23,0,-2,-3,1
916449,3,-7,-24,-21,2,-1,1,-2
916449,-11,5,17,-6,0,-2,-9,4
922332,6,-9,6,-1,-2,-1,1,-5
922332,0,1,-9,6,3,1,-3,2
938353,-10,-7,12,5,-6,-3,0,-1
938353,-7,-10,-30,-13,-6,0,2,4
945153,-4,16,10,6,4,-2,-5,-7
945153,-8,2,-3,-4,1,1,-3,1
952443,10,-8,-2,-16,-1,-1,4,1
952443,-1,-7,7,24,-1,-3,-18,-4
967486,-3,-3,-22,-20,-4,1,9,2
967486,-2,11,-14,-4,-1,-1,-4,-1
976519,-2,-4,0,1,0,-1,5,-1
976519,-4,-4,-4,-13,0,-4,-6,-2
982479,1,-5,-2,-10,-7,-2,-2,-1
982479,1,1,4,2,-1,-2,-3,1
998370,1,4,9,1,-3,-1,3,0
998370,1,-2,7,1,6,0,2,-2
1005365,-1,-7,8,8,4,-3,-3,0
1005365,-3,-5,-14,-12,-6,-1,-10,2
1020366,-5,-3,5,9,-2,-4,12,-11
1020366,-2,2,5,3,1,1,-5,-2
1026365,5,-4,6,-5,-1,-2,-5,0
1026365,-7,-14,-11,-3,-2,0,3,-2
1035887,0,7,2,2,2,-1,-6,-5
1035887,10,22,9,4,-1,-2,-1,8
1041892,-9,-18,-7,-7,-4,0,-12,-9
1041892,-8,-27,-3,-3,-5,-1,24,9
1057944,3,4,-4,9,2,1,-1,1
1057944,0,3,0,-9,-4,0,6,-1
1064905,0,10,-4,-5,-4,-3,-11,0
1064905,0,1,6,2,-2,-2,-7,-5
1071906,0,-7,-11,0,1,2,4,2
1071906,-1,-1,0,6,2,0,5,-6
1088906,-1,-2,-6,-9,-4,-2,4,7
1088906,1,1,0,3,1,-2,-11,-5
1095907,-3,-2,1,1,-6,-2,-2,0
1095907,-3,-1,-12,-6,1,0,-3,-2
1101907,-3,-6,-4,0,1,0,-5,-1
1101907,4,4,-10,-11,-1,0,8,-2
1117907,-4,-18,5,14,-1,-2,-16,-2
1117907,-8,1,24,3,-1,-2,3,1
1124943,-6,-7,5,0,0,-1,2,-4
1124943,-1,11,0,-1,0,0,-7,-2
1131921,16,-4,-4,-4,2,0,0,3
1131921,-3,-6,-12,-3,-4,1,5,-4
1146928,1,2,-1,1,-1,-2,-13,-2
1146928,1,-2,3,1,0,-1,-2,1
1155929,-7,2,0,-4,0,-1,2,-3
1155929,1,-6,-4,-8,-9,-4,2,-2
1161929,5,5,-1,6,4,-1,0,0
1161929,-7,-4,-1,-6,-9,-2,-22,-3
1177931,4,5,-9,-10,-3,-2,10,-6
1177931,-11,-8,-6,7,-1,-1,-8,11
1184931,8,-1,17,-4,-3,-2,6,-4
1184931,0,13,-1,2,3,2,18,5
1191931,-6,-1,-8,-7,-1,1,-6,-2
1191931,1,-10,28,-1,0,0,-4,-6
1206937,-9,-8,-1,2,-1,-3,-5,-2
1206937,2,-2,-2,-3,-4,-4,-7,-4
1215935,12,6,1,1,1,1,-1,8
1215935,-6,6,-5,-3,-3,-3,0,-4
1221934,-4,-18,-12,-7,0,-1,5,1
1221934,0,2,3,-3,-4,1,3,-2
1238154,-6,-6,-9,3,0,-3,-2,-3
1238154,1,0,-9,6,5,-1,0,6
1245154,-4,9,-5,-3,-3,-1,8,-4
1245154,-1,-2,-6,-8,-5,-2,-3,-3
1252361,-3,1,4,1,-1,-2,-6,4
1252361,1,-13,3,-4,-6,-1,1,-3
1267367,-4,9,-3,-1,3,0,4,-3
1267367,-1,-8,9,8,4,-1,-16,-2
1276371,-11,10,1,-1,0,0,30,0
1276371,-9,-11,-10,-4,-8,-2,2,-5
1290410,7,-2,-6,9,6,4,-2,7
1290410,-1,-2,-15,-5,-3,-3,-2,-7
1298167,2,11,9,-4,-5,-3,-11,2
1298167,-5,-5,-41,-10,0,-1,-4,-10
