timestamp,x,y,z
0,0.0625,0.0625,0.125
23001,-1.0625,-0.375,0.125
39010,-0.4375,0.0,0.125
60013,1.0625,0.125,0.375
84224,-1.4375,-0.625,0.375
99021,-2.4375,-1.25,0.25
120017,0.1875,-0.625,0.5625
144033,1.4375,-0.125,0.4375
175050,1.125,0.125,0.3125
176045,-1.125,-0.75,0.3125
197048,-1.375,-1.0625,-0.125
226047,-0.1875,-0.5625,0.4375
236062,0.5625,0.1875,0.625
266278,-1.0625,0.4375,0.375
293279,-0.6875,0.0625,0.3125
317281,-0.25,-0.8125,0.4375
318444,-0.3125,-0.9375,0.75
337288,-0.625,-0.25,0.4375
362470,-0.25,-0.6875,0.1875
377468,0.875,-0.625,-0.375
396521,0.875,0.1875,-0.0625
421464,-0.875,-0.0625,0.375
437339,-1.9375,-0.25,-0.5
457551,0.375,-0.125,-1.4375
473552,1.9375,0.1875,-1.75
496554,1.4375,0.125,-1.8125
517554,-0.4375,0.25,-1.5
534081,-0.3125,0.875,-2.4375
556589,1.8125,1.125,-2.4375
576812,2.125,2.5,-2.125
593589,-1.5,2.0625,-2.1875
616591,-3.4375,0.5,-3.8125
637321,-0.375,0.4375,-4.8125
659958,1.375,1.875,-4.6875
676670,-0.125,1.9375,-4.4375
696672,0.5,1.1875,-5.75
719674,2.6875,1.75,-7.375
737196,3.4375,1.0,-8.5625
756989,2.6875,-0.875,-10.1875
781703,3.5,-1.75,-10.75
796704,4.0625,-0.875,-9.9375
818706,4.0625,1.1875,-10.375
840534,3.125,1.625,-10.1875
856526,1.5625,-0.1875,-10.0625
877488,0.75,-1.1875,-10.625
900524,1.25,0.0,-10.875
916449,0.3125,1.4375,-10.625
938853,0.1875,3.125,-11.1875
960522,-0.9375,4.625,-10.75
976519,-2.5,4.625,-10.625
998370,-2.625,4.0,-11.5625
1021366,-0.125,3.8125,-12.5625
1036887,3.4375,5.3125,-13.3125
1058904,3.6875,5.8125,-11.25
1079910,4.3125,5.1875,-10.5
1096907,4.875,4.5625,-9.75
1118908,5.8125,4.25,-10.9375
1139923,5.0,3.875,-11.0625
1156929,6.625,2.375,-11.0625
1178930,5.4375,0.4375,-9.3125
1199931,5.5625,1.0,-8.625
1216940,5.3125,2.5,-9.375
1239454,4.875,1.8125,-9.875
1260370,6.125,0.5,-9.8125
1277370,7.125,-0.25,-9.8125
1299168,7.0,-1.125,-10.375
1320164,6.5,-1.4375,-8.0625
1337179,5.8125,-2.0,-7.5
1359102,3.0,-2.8125,-5.875
1380103,2.6875,-3.125,-5.3125
1397105,3.9375,-2.9375,-5.1875
1419049,4.375,-2.8125,-5.125
1440306,4.9375,-0.75,-5.9375
1463889,3.125,2.0625,-4.4375
1478890,2.3125,4.3125,-5.0625
1500191,2.5,4.625,-3.3125
1516892,4.375,1.8125,-3.25
1539162,4.3125,-0.8125,-2.5
1559864,5.8125,-0.375,-2.4375
1576636,7.5625,2.5,-0.6875
1598636,6.75,5.0625,0.4375
1619638,2.375,5.0,1.25
1637144,3.5625,4.625,4.8125
1658660,-1.375,-4.375,4.5
1679667,-2.375,-10.9375,-0.4375
1696662,4.5625,-11.1875,-4.1875
1718665,7.125,-6.5625,-4.6875
1740366,1.6875,-0.125,-2.75
1757091,-5.6875,2.3125,-0.5
1780882,-4.0625,2.125,0.875
