timestamp,x,y,z
0,-0.25,-0.25,-0.0625
21506,-0.5625,-0.125,0.375
45508,-0.75,-0.125,0.125
60509,-0.5625,-0.5625,-0.125
81515,0.5,-1.0,-0.5625
106026,0.5,-0.9375,-0.6875
151534,-0.3125,-1.0,-0.6875
160535,1.4375,-0.5625,-0.75
168535,1.625,-0.875,-0.8125
183538,1.0,-0.5625,-1.0
204251,0.125,-0.4375,-1.0
225754,-0.125,-1.1875,-0.875
270037,1.8125,-1.4375,-1.4375
270751,2.6875,-0.4375,-1.375
285071,0.625,0.5625,-1.375
301043,-1.0,0.0,-1.75
323554,0.125,-0.8125,-2.125
344561,0.75,-0.9375,-1.1875
360571,0.875,-1.1875,-1.875
391565,0.875,-0.0625,-3.1875
405380,1.5625,0.6875,-2.9375
420583,1.0625,1.3125,-2.5
443586,0.0,0.625,-3.0625
465586,2.0,0.6875,-4.125
488588,3.125,0.5,-4.6875
504625,4.125,0.375,-4.5
524891,3.8125,0.4375,-4.125
547894,3.1875,0.625,-5.0
563892,4.375,1.8125,-5.25
584902,3.375,1.5625,-5.625
608429,2.4375,2.5,-6.625
624192,0.75,3.25,-7.0625
653121,0.8125,4.3125,-7.5625
670151,4.4375,4.9375,-8.25
683920,4.0625,3.6875,-8.625
705384,3.6875,2.75,-7.6875
728345,3.5625,3.0625,-8.75
743345,3.4375,4.0,-10.0625
765481,3.375,2.9375,-10.0625
788481,3.875,1.75,-10.6875
804299,4.6875,2.625,-10.0625
825553,6.0,2.125,-10.25
856338,8.6875,1.8125,-13.0
864338,9.25,2.0,-11.75
887475,7.4375,1.4375,-11.0625
908290,6.9375,1.5,-10.8125
924454,9.0,1.9375,-14.6875
946190,15.625,1.0,-13.125
969533,11.0,-0.1875,-10.8125
984191,7.0625,-0.875,-11.3125
1006206,12.3125,1.25,-10.3125
1028218,9.5625,0.4375,-10.25
1044216,10.9375,0.5625,-9.125
1073241,9.3125,1.5,-7.3125
1088219,4.625,4.25,-4.9375
1104224,5.75,6.875,-2.6875
1126230,3.0625,9.0625,0.8125
1148232,0.4375,11.5,4.875
1164233,-3.25,8.6875,5.8125
1188234,3.6875,3.75,4.6875
1207251,7.5,1.625,3.5
1224435,12.125,-0.4375,-2.4375
1246263,5.75,-1.5625,-3.5
1269441,4.5,-1.0625,-1.75
1291265,3.6875,-0.5,-0.375
1306274,1.125,-2.0625,0.25
1328291,2.875,-2.3125,-0.25
1350292,3.1875,-1.5625,-0.375
1367293,1.9375,-0.3125,-1.25
1388298,-0.125,0.5,-1.125
1412000,-1.1875,0.5625,0.625
1425970,-0.4375,0.4375,1.25
1448704,0.0625,0.875,0.375
1471707,-1.8125,0.375,-1.0625
1486708,-2.5625,0.5625,-2.3125
1509216,-1.625,0.75,-2.625
1531724,-0.8125,0.8125,-1.8125
1546726,-0.5625,0.875,-1.0625
1568727,-0.5625,0.875,-1.9375
1591728,0.8125,2.0625,-2.25
1607242,1.3125,2.375,-2.375
1635750,-0.875,1.25,-2.5625
1651751,-0.0625,0.8125,-3.4375
1666751,1.4375,1.0,-3.125
1688752,2.1875,2.0,-3.4375
1713958,-0.5625,2.6875,-4.4375
1727163,-2.8125,2.9375,-2.8125
1749172,-1.4375,2.9375,-0.875
1772161,-0.3125,2.1875,-1.5625
1787162,0.5625,2.625,-2.5625
1809203,-0.0625,2.75,-2.1875
1832219,-2.375,2.5,-1.625
1853522,-2.0,3.0625,-1.0625
1869220,-3.3125,3.125,-0.6875
1892222,-3.1875,2.0625,-0.625
1913240,-2.0625,1.5625,0.8125
1929248,-0.1875,1.3125,1.6875
1952250,-0.0625,1.625,1.1875
1973251,-1.5,1.1875,0.3125
1989252,-3.0,0.0625,0.125
2012279,-2.75,-1.0,0.4375
2033287,0.75,-1.1875,0.25
2049288,1.8125,-0.5625,0.5
2071289,1.375,-1.625,-0.1875
2092290,3.0625,-3.25,-2.5
2108841,4.9375,-4.125,-4.1875
2132402,5.4375,-5.625,-8.5625
2153417,14.9375,-7.125,-6.1875
2169415,4.75,-4.9375,-3.5
2192419,0.6875,-0.625,-4.0625
2213055,2.9375,-0.1875,-2.8125
2228571,-1.875,2.3125,-0.8125
2251527,-1.875,4.3125,1.375
2272737,0.8125,7.0625,4.6875
2288528,-6.5,8.1875,7.25
2312743,-5.25,6.25,7.6875
2335457,-2.3125,1.0625,7.6875
2349458,0.0,0.8125,4.0
2372459,7.5625,-0.8125,-0.375
2395462,5.125,-0.8125,-0.625
2408976,2.1875,-2.0,-1.0
2431486,2.375,-3.1875,0.4375
2454485,3.375,-2.1875,1.1875
2468486,0.3125,-0.3125,1.5
2491519,-3.5,0.5625,1.25
2515005,-3.125,0.375,0.625
2528511,-1.0,0.75,1.3125
2551513,1.0625,0.75,1.0
2574514,-0.625,-0.0625,0.4375
2588515,-3.0625,-0.3125,0.0
2612234,-2.6875,0.3125,0.875
2634491,-1.5,0.8125,0.9375
2649456,-1.4375,0.375,1.1875
2671488,-0.0625,-0.125,1.1875
2695459,0.125,-0.3125,0.9375
2709400,-0.25,0.1875,0.1875
2731665,-1.375,-0.25,0.25
2754666,-1.3125,-0.6875,0.1875
2768666,-0.4375,-0.75,0.4375
2791667,0.0625,-0.375,0.5625
2815176,-0.6875,0.125,0.625
2836183,-1.5625,0.1875,0.375
2852184,-0.5625,-0.125,0.5
2875377,0.0,-0.375,0.875
